thoi_gian,ten_benh,luot_tim_kiem
2026-04-24 18:00:00,sốt xuất huyết,0
2026-04-24 19:00:00,sốt xuất huyết,0
2026-04-24 20:00:00,sốt xuất huyết,0
2026-04-24 21:00:00,sốt xuất huyết,0
2026-04-24 22:00:00,sốt xuất huyết,0
2026-04-24 23:00:00,sốt xuất huyết,0
2026-04-25 00:00:00,sốt xuất huyết,40
2026-04-25 01:00:00,sốt xuất huyết,93
2026-04-25 02:00:00,sốt xuất huyết,92
2026-04-25 03:00:00,sốt xuất huyết,97
2026-04-25 04:00:00,sốt xuất huyết,52
2026-04-25 05:00:00,sốt xuất huyết,61
2026-04-25 06:00:00,sốt xuất huyết,50
2026-04-25 07:00:00,sốt xuất huyết,89
2026-04-25 08:00:00,sốt xuất huyết,78
2026-04-25 09:00:00,sốt xuất huyết,48
2026-04-25 10:00:00,sốt xuất huyết,66
2026-04-25 11:00:00,sốt xuất huyết,59
2026-04-25 12:00:00,sốt xuất huyết,56
2026-04-25 13:00:00,sốt xuất huyết,54
2026-04-25 14:00:00,sốt xuất huyết,54
2026-04-25 15:00:00,sốt xuất huyết,40
2026-04-25 16:00:00,sốt xuất huyết,35
2026-04-25 17:00:00,sốt xuất huyết,45
2026-04-25 18:00:00,sốt xuất huyết,0
2026-04-25 19:00:00,sốt xuất huyết,0
2026-04-25 20:00:00,sốt xuất huyết,0
2026-04-25 21:00:00,sốt xuất huyết,0
2026-04-25 22:00:00,sốt xuất huyết,0
2026-04-25 23:00:00,sốt xuất huyết,71
2026-04-26 00:00:00,sốt xuất huyết,90
2026-04-26 01:00:00,sốt xuất huyết,71
2026-04-26 02:00:00,sốt xuất huyết,63
2026-04-26 03:00:00,sốt xuất huyết,65
2026-04-26 04:00:00,sốt xuất huyết,57
2026-04-26 05:00:00,sốt xuất huyết,56
2026-04-26 06:00:00,sốt xuất huyết,65
2026-04-26 07:00:00,sốt xuất huyết,70
2026-04-26 08:00:00,sốt xuất huyết,63
2026-04-26 09:00:00,sốt xuất huyết,44
2026-04-26 10:00:00,sốt xuất huyết,55
2026-04-26 11:00:00,sốt xuất huyết,56
2026-04-26 12:00:00,sốt xuất huyết,48
2026-04-26 13:00:00,sốt xuất huyết,51
2026-04-26 14:00:00,sốt xuất huyết,50
2026-04-26 15:00:00,sốt xuất huyết,49
2026-04-26 16:00:00,sốt xuất huyết,60
2026-04-26 17:00:00,sốt xuất huyết,0
2026-04-26 18:00:00,sốt xuất huyết,0
2026-04-26 19:00:00,sốt xuất huyết,0
2026-04-26 20:00:00,sốt xuất huyết,0
2026-04-26 21:00:00,sốt xuất huyết,0
2026-04-26 22:00:00,sốt xuất huyết,0
2026-04-26 23:00:00,sốt xuất huyết,56
2026-04-27 00:00:00,sốt xuất huyết,96
2026-04-27 01:00:00,sốt xuất huyết,75
2026-04-27 02:00:00,sốt xuất huyết,84
2026-04-27 03:00:00,sốt xuất huyết,84
2026-04-27 04:00:00,sốt xuất huyết,64
2026-04-27 05:00:00,sốt xuất huyết,85
2026-04-27 06:00:00,sốt xuất huyết,39
2026-04-27 07:00:00,sốt xuất huyết,69
2026-04-27 08:00:00,sốt xuất huyết,65
2026-04-27 09:00:00,sốt xuất huyết,53
2026-04-27 10:00:00,sốt xuất huyết,68
2026-04-27 11:00:00,sốt xuất huyết,45
2026-04-27 12:00:00,sốt xuất huyết,88
2026-04-27 13:00:00,sốt xuất huyết,64
2026-04-27 14:00:00,sốt xuất huyết,90
2026-04-27 15:00:00,sốt xuất huyết,67
2026-04-27 16:00:00,sốt xuất huyết,55
2026-04-27 17:00:00,sốt xuất huyết,63
2026-04-27 18:00:00,sốt xuất huyết,0
2026-04-27 19:00:00,sốt xuất huyết,0
2026-04-27 20:00:00,sốt xuất huyết,0
2026-04-27 21:00:00,sốt xuất huyết,0
2026-04-27 22:00:00,sốt xuất huyết,0
2026-04-27 23:00:00,sốt xuất huyết,65
2026-04-28 00:00:00,sốt xuất huyết,65
2026-04-28 01:00:00,sốt xuất huyết,100
2026-04-28 02:00:00,sốt xuất huyết,77
2026-04-28 03:00:00,sốt xuất huyết,82
2026-04-28 04:00:00,sốt xuất huyết,84
2026-04-28 05:00:00,sốt xuất huyết,64
2026-04-28 06:00:00,sốt xuất huyết,76
2026-04-28 07:00:00,sốt xuất huyết,72
2026-04-28 08:00:00,sốt xuất huyết,82
2026-04-28 09:00:00,sốt xuất huyết,62
2026-04-28 10:00:00,sốt xuất huyết,65
2026-04-28 11:00:00,sốt xuất huyết,54
2026-04-28 12:00:00,sốt xuất huyết,73
2026-04-28 13:00:00,sốt xuất huyết,71
2026-04-28 14:00:00,sốt xuất huyết,78
2026-04-28 15:00:00,sốt xuất huyết,69
2026-04-28 16:00:00,sốt xuất huyết,83
2026-04-28 17:00:00,sốt xuất huyết,49
2026-04-28 18:00:00,sốt xuất huyết,0
2026-04-28 19:00:00,sốt xuất huyết,0
2026-04-28 20:00:00,sốt xuất huyết,0
2026-04-28 21:00:00,sốt xuất huyết,0
2026-04-28 22:00:00,sốt xuất huyết,0
2026-04-28 23:00:00,sốt xuất huyết,89
2026-04-29 00:00:00,sốt xuất huyết,83
2026-04-29 01:00:00,sốt xuất huyết,95
2026-04-29 02:00:00,sốt xuất huyết,80
2026-04-29 03:00:00,sốt xuất huyết,82
2026-04-29 04:00:00,sốt xuất huyết,73
2026-04-29 05:00:00,sốt xuất huyết,68
2026-04-29 06:00:00,sốt xuất huyết,63
2026-04-29 07:00:00,sốt xuất huyết,86
2026-04-29 08:00:00,sốt xuất huyết,84
2026-04-29 09:00:00,sốt xuất huyết,49
2026-04-29 10:00:00,sốt xuất huyết,66
2026-04-29 11:00:00,sốt xuất huyết,61
2026-04-29 12:00:00,sốt xuất huyết,56
2026-04-29 13:00:00,sốt xuất huyết,68
2026-04-29 14:00:00,sốt xuất huyết,62
2026-04-29 15:00:00,sốt xuất huyết,69
2026-04-29 16:00:00,sốt xuất huyết,31
2026-04-29 17:00:00,sốt xuất huyết,0
2026-04-29 18:00:00,sốt xuất huyết,0
2026-04-29 19:00:00,sốt xuất huyết,0
2026-04-29 20:00:00,sốt xuất huyết,0
2026-04-29 21:00:00,sốt xuất huyết,0
2026-04-29 22:00:00,sốt xuất huyết,0
2026-04-29 23:00:00,sốt xuất huyết,53
2026-04-30 00:00:00,sốt xuất huyết,97
2026-04-30 01:00:00,sốt xuất huyết,91
2026-04-30 02:00:00,sốt xuất huyết,78
2026-04-30 03:00:00,sốt xuất huyết,62
2026-04-30 04:00:00,sốt xuất huyết,71
2026-04-30 05:00:00,sốt xuất huyết,56
2026-04-30 06:00:00,sốt xuất huyết,44
2026-04-30 07:00:00,sốt xuất huyết,0
2026-04-30 08:00:00,sốt xuất huyết,65
2026-04-30 09:00:00,sốt xuất huyết,45
2026-04-30 10:00:00,sốt xuất huyết,39
2026-04-30 11:00:00,sốt xuất huyết,68
2026-04-30 12:00:00,sốt xuất huyết,55
2026-04-30 13:00:00,sốt xuất huyết,58
2026-04-30 14:00:00,sốt xuất huyết,57
2026-04-30 15:00:00,sốt xuất huyết,64
2026-04-30 16:00:00,sốt xuất huyết,57
2026-04-30 17:00:00,sốt xuất huyết,0
2026-04-30 18:00:00,sốt xuất huyết,0
2026-04-30 19:00:00,sốt xuất huyết,0
2026-04-30 20:00:00,sốt xuất huyết,0
2026-04-30 21:00:00,sốt xuất huyết,0
2026-04-30 22:00:00,sốt xuất huyết,0
2026-04-30 23:00:00,sốt xuất huyết,0
2026-05-01 00:00:00,sốt xuất huyết,74
2026-05-01 01:00:00,sốt xuất huyết,68
2026-05-01 02:00:00,sốt xuất huyết,72
2026-05-01 03:00:00,sốt xuất huyết,59
2026-05-01 04:00:00,sốt xuất huyết,61
2026-05-01 05:00:00,sốt xuất huyết,63
2026-05-01 06:00:00,sốt xuất huyết,49
2026-05-01 07:00:00,sốt xuất huyết,45
2026-05-01 08:00:00,sốt xuất huyết,55
2026-05-01 09:00:00,sốt xuất huyết,48
2026-05-01 10:00:00,sốt xuất huyết,50
2026-05-01 11:00:00,sốt xuất huyết,54
2026-05-01 12:00:00,sốt xuất huyết,40
2026-05-01 13:00:00,sốt xuất huyết,69
2026-05-01 14:00:00,sốt xuất huyết,55
2026-05-01 15:00:00,sốt xuất huyết,69
2026-05-01 16:00:00,sốt xuất huyết,52
2026-05-01 17:00:00,sốt xuất huyết,0
2026-05-01 18:00:00,sốt xuất huyết,0
2026-04-24 18:00:00,tay chân miệng,25
2026-04-24 19:00:00,tay chân miệng,49
2026-04-24 20:00:00,tay chân miệng,45
2026-04-24 21:00:00,tay chân miệng,36
2026-04-24 22:00:00,tay chân miệng,28
2026-04-24 23:00:00,tay chân miệng,75
2026-04-25 00:00:00,tay chân miệng,92
2026-04-25 01:00:00,tay chân miệng,67
2026-04-25 02:00:00,tay chân miệng,73
2026-04-25 03:00:00,tay chân miệng,59
2026-04-25 04:00:00,tay chân miệng,59
2026-04-25 05:00:00,tay chân miệng,52
2026-04-25 06:00:00,tay chân miệng,45
2026-04-25 07:00:00,tay chân miệng,48
2026-04-25 08:00:00,tay chân miệng,54
2026-04-25 09:00:00,tay chân miệng,57
2026-04-25 10:00:00,tay chân miệng,55
2026-04-25 11:00:00,tay chân miệng,61
2026-04-25 12:00:00,tay chân miệng,52
2026-04-25 13:00:00,tay chân miệng,69
2026-04-25 14:00:00,tay chân miệng,63
2026-04-25 15:00:00,tay chân miệng,64
2026-04-25 16:00:00,tay chân miệng,49
2026-04-25 17:00:00,tay chân miệng,50
2026-04-25 18:00:00,tay chân miệng,32
2026-04-25 19:00:00,tay chân miệng,38
2026-04-25 20:00:00,tay chân miệng,0
2026-04-25 21:00:00,tay chân miệng,42
2026-04-25 22:00:00,tay chân miệng,43
2026-04-25 23:00:00,tay chân miệng,40
2026-04-26 00:00:00,tay chân miệng,60
2026-04-26 01:00:00,tay chân miệng,100
2026-04-26 02:00:00,tay chân miệng,72
2026-04-26 03:00:00,tay chân miệng,68
2026-04-26 04:00:00,tay chân miệng,69
2026-04-26 05:00:00,tay chân miệng,64
2026-04-26 06:00:00,tay chân miệng,50
2026-04-26 07:00:00,tay chân miệng,46
2026-04-26 08:00:00,tay chân miệng,70
2026-04-26 09:00:00,tay chân miệng,59
2026-04-26 10:00:00,tay chân miệng,62
2026-04-26 11:00:00,tay chân miệng,58
2026-04-26 12:00:00,tay chân miệng,54
2026-04-26 13:00:00,tay chân miệng,71
2026-04-26 14:00:00,tay chân miệng,78
2026-04-26 15:00:00,tay chân miệng,64
2026-04-26 16:00:00,tay chân miệng,53
2026-04-26 17:00:00,tay chân miệng,36
2026-04-26 18:00:00,tay chân miệng,29
2026-04-26 19:00:00,tay chân miệng,59
2026-04-26 20:00:00,tay chân miệng,0
2026-04-26 21:00:00,tay chân miệng,0
2026-04-26 22:00:00,tay chân miệng,45
2026-04-26 23:00:00,tay chân miệng,68
2026-04-27 00:00:00,tay chân miệng,86
2026-04-27 01:00:00,tay chân miệng,83
2026-04-27 02:00:00,tay chân miệng,87
2026-04-27 03:00:00,tay chân miệng,80
2026-04-27 04:00:00,tay chân miệng,72
2026-04-27 05:00:00,tay chân miệng,64
2026-04-27 06:00:00,tay chân miệng,48
2026-04-27 07:00:00,tay chân miệng,49
2026-04-27 08:00:00,tay chân miệng,60
2026-04-27 09:00:00,tay chân miệng,54
2026-04-27 10:00:00,tay chân miệng,61
2026-04-27 11:00:00,tay chân miệng,72
2026-04-27 12:00:00,tay chân miệng,65
2026-04-27 13:00:00,tay chân miệng,76
2026-04-27 14:00:00,tay chân miệng,86
2026-04-27 15:00:00,tay chân miệng,73
2026-04-27 16:00:00,tay chân miệng,57
2026-04-27 17:00:00,tay chân miệng,47
2026-04-27 18:00:00,tay chân miệng,43
2026-04-27 19:00:00,tay chân miệng,33
2026-04-27 20:00:00,tay chân miệng,53
2026-04-27 21:00:00,tay chân miệng,50
2026-04-27 22:00:00,tay chân miệng,42
2026-04-27 23:00:00,tay chân miệng,71
2026-04-28 00:00:00,tay chân miệng,85
2026-04-28 01:00:00,tay chân miệng,92
2026-04-28 02:00:00,tay chân miệng,74
2026-04-28 03:00:00,tay chân miệng,79
2026-04-28 04:00:00,tay chân miệng,84
2026-04-28 05:00:00,tay chân miệng,67
2026-04-28 06:00:00,tay chân miệng,57
2026-04-28 07:00:00,tay chân miệng,54
2026-04-28 08:00:00,tay chân miệng,60
2026-04-28 09:00:00,tay chân miệng,64
2026-04-28 10:00:00,tay chân miệng,72
2026-04-28 11:00:00,tay chân miệng,65
2026-04-28 12:00:00,tay chân miệng,77
2026-04-28 13:00:00,tay chân miệng,68
2026-04-28 14:00:00,tay chân miệng,67
2026-04-28 15:00:00,tay chân miệng,79
2026-04-28 16:00:00,tay chân miệng,61
2026-04-28 17:00:00,tay chân miệng,53
2026-04-28 18:00:00,tay chân miệng,48
2026-04-28 19:00:00,tay chân miệng,0
2026-04-28 20:00:00,tay chân miệng,37
2026-04-28 21:00:00,tay chân miệng,0
2026-04-28 22:00:00,tay chân miệng,57
2026-04-28 23:00:00,tay chân miệng,77
2026-04-29 00:00:00,tay chân miệng,87
2026-04-29 01:00:00,tay chân miệng,66
2026-04-29 02:00:00,tay chân miệng,64
2026-04-29 03:00:00,tay chân miệng,70
2026-04-29 04:00:00,tay chân miệng,51
2026-04-29 05:00:00,tay chân miệng,56
2026-04-29 06:00:00,tay chân miệng,48
2026-04-29 07:00:00,tay chân miệng,49
2026-04-29 08:00:00,tay chân miệng,60
2026-04-29 09:00:00,tay chân miệng,44
2026-04-29 10:00:00,tay chân miệng,55
2026-04-29 11:00:00,tay chân miệng,61
2026-04-29 12:00:00,tay chân miệng,67
2026-04-29 13:00:00,tay chân miệng,74
2026-04-29 14:00:00,tay chân miệng,73
2026-04-29 15:00:00,tay chân miệng,65
2026-04-29 16:00:00,tay chân miệng,51
2026-04-29 17:00:00,tay chân miệng,53
2026-04-29 18:00:00,tay chân miệng,34
2026-04-29 19:00:00,tay chân miệng,0
2026-04-29 20:00:00,tay chân miệng,34
2026-04-29 21:00:00,tay chân miệng,0
2026-04-29 22:00:00,tay chân miệng,0
2026-04-29 23:00:00,tay chân miệng,55
2026-04-30 00:00:00,tay chân miệng,89
2026-04-30 01:00:00,tay chân miệng,85
2026-04-30 02:00:00,tay chân miệng,71
2026-04-30 03:00:00,tay chân miệng,63
2026-04-30 04:00:00,tay chân miệng,54
2026-04-30 05:00:00,tay chân miệng,65
2026-04-30 06:00:00,tay chân miệng,45
2026-04-30 07:00:00,tay chân miệng,55
2026-04-30 08:00:00,tay chân miệng,51
2026-04-30 09:00:00,tay chân miệng,46
2026-04-30 10:00:00,tay chân miệng,53
2026-04-30 11:00:00,tay chân miệng,47
2026-04-30 12:00:00,tay chân miệng,57
2026-04-30 13:00:00,tay chân miệng,75
2026-04-30 14:00:00,tay chân miệng,61
2026-04-30 15:00:00,tay chân miệng,64
2026-04-30 16:00:00,tay chân miệng,56
2026-04-30 17:00:00,tay chân miệng,41
2026-04-30 18:00:00,tay chân miệng,34
2026-04-30 19:00:00,tay chân miệng,51
2026-04-30 20:00:00,tay chân miệng,0
2026-04-30 21:00:00,tay chân miệng,0
2026-04-30 22:00:00,tay chân miệng,61
2026-04-30 23:00:00,tay chân miệng,31
2026-05-01 00:00:00,tay chân miệng,63
2026-05-01 01:00:00,tay chân miệng,64
2026-05-01 02:00:00,tay chân miệng,67
2026-05-01 03:00:00,tay chân miệng,48
2026-05-01 04:00:00,tay chân miệng,47
2026-05-01 05:00:00,tay chân miệng,62
2026-05-01 06:00:00,tay chân miệng,38
2026-05-01 07:00:00,tay chân miệng,53
