event_date,week,year,disease,province,cases,metric_type,source_type,source_name,source_url,raw_text,collected_at
,,,Tay chân miệng,TP. Hồ Chí Minh,4471,weekly,hcdc,HCDC,https://hcdc.vn/chu-dong-phong-chong-dich-benh-tay-chan-mieng-r910HN.html,"Trong 20 tuần đầu năm 2024, Thành phố Hồ Chí Minh có 4471 ca mắc tay chân miệng đến khám và điều trị tại các cơ sở y tế, tăng 33% so với cùng kỳ năm 2023 và tương đương với số trung bình của 5 năm 2018-2022; số ca bệnh nặng (từ độ 2b trở lên) là 40 ca; không có ca tử vong.",2026-05-22 17:35:10
,,,Tay chân miệng,TP. Hồ Chí Minh,40,weekly,hcdc,HCDC,https://hcdc.vn/chu-dong-phong-chong-dich-benh-tay-chan-mieng-r910HN.html,"Trong 20 tuần đầu năm 2024, Thành phố Hồ Chí Minh có 4471 ca mắc tay chân miệng đến khám và điều trị tại các cơ sở y tế, tăng 33% so với cùng kỳ năm 2023 và tương đương với số trung bình của 5 năm 2018-2022; số ca bệnh nặng (từ độ 2b trở lên) là 40 ca; không có ca tử vong.",2026-05-22 17:35:10
,,,Tay chân miệng,TP. Hồ Chí Minh,10227,unknown,hcdc,HCDC,https://hcdc.vn/tay-chan-mieng-bao-ve-con-tu-nhung-thoi-quen-sach-P29unk.html,"Hồ Chí Minh đã ghi nhận 10.227 trường hợp mắc bệnh tay chân miệng, cao gấp 1,5 lần so với cùng kỳ năm 2024.",2026-05-22 17:35:13
,,,Tay chân miệng,TP. Hồ Chí Minh,10227,unknown,hcdc,HCDC,https://hcdc.vn/tay-chan-mieng-chu-dong-phong-ngua-khi-so-ca-mac-benh-gia-tang-OklCv1.html,"Tính đến ngày 15/6/2025, Thành phố Hồ Chí Minh ghi nhận 10.227 ca mắc bệnh tay chân miệng, cao gấp 1,5 lần so với cùng kỳ năm 2024.",2026-05-22 17:35:14
,,,Tay chân miệng,TP. Hồ Chí Minh,6711,cumulative,hcdc,HCDC,https://hcdc.vn/tinh-hinh-benh-tay-chan-mieng-tai-thanh-pho-ho-chi-minh-Ch2vZj.html,"Theo ghi nhận từ hệ thống giám sát bệnh truyền nhiễm, từ đầu năm 2025 đến nay thành phố ghi nhận 6.711 ca tay chân miệng, tăng 49% so với cùng kỳ năm 2024 (4.510 ca).",2026-05-22 17:35:15
,,,Tay chân miệng,TP. Hồ Chí Minh,916,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-benh-tay-chan-mieng-tai-thanh-pho-ho-chi-minh-Ch2vZj.html,"Riêng trong tuần 20 ghi nhận 916 ca tay chân miệng, tăng 40% so với trung bình 4 tuần trước (654 ca), trong đó số ca nội trú tăng 26% so với trung bình 4 tuần trước.",2026-05-22 17:35:15
10/5/2026,,,Sốt xuất huyết,TP. Hồ Chí Minh,466,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-192026-df84pO.html,"Hồ Chí Minh ghi nhận 466 trường hợp mắc bệnh sốt xuất huyết, giảm 10,4% so với trung bình 4 tuần trước.",2026-05-22 17:35:15
10/5/2026,,,Sốt xuất huyết,TP. Hồ Chí Minh,16457,cumulative,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-192026-df84pO.html,Tổng số ca sốt xuất huyết tích lũy từ đầu năm 2026 đến tuần 19 là 16.457 ca.,2026-05-22 17:35:15
10/5/2026,,,Tay chân miệng,TP. Hồ Chí Minh,859,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-192026-df84pO.html,"Hồ Chí Minh cũng ghi nhận 859 trường hợp mắc bệnh tay chân miệng, giảm 25,1% so với trung bình 4 tuần trước.",2026-05-22 17:35:15
10/5/2026,,,Tay chân miệng,TP. Hồ Chí Minh,15989,cumulative,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-192026-df84pO.html,Tổng số ca tay chân miệng tích lũy từ đầu năm 2026 đến tuần 19 là 15.989 ca.,2026-05-22 17:35:15
26/10/2025,,,Sốt xuất huyết,TP. Hồ Chí Minh,2200,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-432025-qBMNXA.html,"Hồ Chí Minh ghi nhận 2.200 trường hợp mắc bệnh sốt xuất huyết, giảm 3,7% so với trung bình 4 tuần trước.",2026-05-22 17:35:16
26/10/2025,,,Sốt xuất huyết,TP. Hồ Chí Minh,48053,cumulative,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-432025-qBMNXA.html,Tổng số ca sốt xuất huyết tích lũy từ đầu năm 2025 đến tuần 43 là 48.053 ca.,2026-05-22 17:35:16
26/10/2025,,,Tay chân miệng,TP. Hồ Chí Minh,978,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-432025-qBMNXA.html,"Hồ Chí Minh cũng ghi nhận 978 trường hợp mắc bệnh tay chân miệng, tăng 9,2% so với trung bình 4 tuần trước.",2026-05-22 17:35:16
26/10/2025,,,Tay chân miệng,TP. Hồ Chí Minh,26486,cumulative,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-tren-dia-ban-tp-ho-chi-minh-tinh-den-tuan-432025-qBMNXA.html,Tổng số ca tay chân miệng tích lũy từ đầu năm 2025 đến tuần 43 là 26.486 ca.,2026-05-22 17:35:16
05/01/2025,1.0,2025.0,Sốt xuất huyết,TP. Hồ Chí Minh,473,weekly,hcdc,HCDC,https://hcdc.vn/tinh-hinh-dich-benh-sot-xuat-huyet-tay-chan-mieng-va-soi-tai-tp-ho-chi-minh-tinh-den-tuan-12025-F4VQUi.html,"Hồ Chí Minh ghi nhận 473 trường hợp mắc bệnh sốt xuất huyết, giảm 28,3% so với trung bình 4 tuần trước.",2026-05-22 17:35:16
