disease,country,year,cases,source
Bệnh Lao,Vietnam,2024,184000,WHO API
Bệnh Lao,Vietnam,2023,185000,WHO API
Bệnh Lao,Vietnam,2022,177000,WHO API
Bệnh Lao,Vietnam,2021,169000,WHO API
Bệnh Lao,Vietnam,2020,168000,WHO API
Bệnh Lao,Vietnam,2019,171000,WHO API
Bệnh Lao,Vietnam,2018,175000,WHO API
Bệnh Lao,Vietnam,2017,179000,WHO API
Bệnh Lao,Vietnam,2016,182000,WHO API
Bệnh Lao,Vietnam,2015,185000,WHO API
Bệnh Lao,Vietnam,2014,188000,WHO API
Bệnh Lao,Vietnam,2013,192000,WHO API
Bệnh Lao,Vietnam,2012,195000,WHO API
Bệnh Lao,Vietnam,2011,199000,WHO API
Bệnh Lao,Vietnam,2010,202000,WHO API
Bệnh Lao,Vietnam,2009,206000,WHO API
Bệnh Lao,Vietnam,2008,209000,WHO API
Bệnh Lao,Vietnam,2007,212000,WHO API
Bệnh Lao,Vietnam,2006,213000,WHO API
Bệnh Lao,Vietnam,2005,216000,WHO API
Bệnh Lao,Vietnam,2004,219000,WHO API
Bệnh Lao,Vietnam,2003,221000,WHO API
Bệnh Lao,Vietnam,2002,224000,WHO API
Bệnh Lao,Vietnam,2001,226000,WHO API
Bệnh Lao,Vietnam,2000,229000,WHO API
Sốt rét,Vietnam,2024,11,WHO API
Sốt rét,Vietnam,2023,56,WHO API
Sốt rét,Vietnam,2022,2,WHO API
Sốt rét,Vietnam,2021,6,WHO API
Sốt rét,Vietnam,2020,237,WHO API
Sốt rét,Vietnam,2019,53,WHO API
Sốt rét,Vietnam,2018,13,WHO API
Sốt rét,Vietnam,2017,21,WHO API
Sốt rét,Vietnam,2016,13,WHO API
Sốt rét,Vietnam,2015,15,WHO API
Sốt rét,Vietnam,2014,16,WHO API
Sốt rét,Vietnam,2013,11,WHO API
Sốt rét,Vietnam,2012,12,WHO API
Sốt rét,Vietnam,2011,13,WHO API
Sốt rét,Vietnam,2010,6,WHO API
Sốt rét,Vietnam,2009,8,WHO API
Sốt rét,Vietnam,2008,17,WHO API
Sốt rét,Vietnam,2007,32,WHO API
Sốt rét,Vietnam,2006,25,WHO API
Sốt rét,Vietnam,2005,36,WHO API
Sốt rét,Vietnam,2004,49,WHO API
Sốt rét,Vietnam,2003,105,WHO API
Sốt rét,Vietnam,2002,105,WHO API
Sốt rét,Vietnam,2001,133,WHO API
Sốt rét,Vietnam,2000,113,WHO API
Sốt rét,Vietnam,1999,81,WHO API
Sốt rét,Vietnam,1998,130,WHO API
Sốt rét,Vietnam,1997,152,WHO API
Sốt rét,Vietnam,1996,143,WHO API
Sốt rét,Vietnam,1995,167,WHO API
Sốt rét,Vietnam,1994,166,WHO API
Sốt rét,Vietnam,1993,167,WHO API
Sốt rét,Vietnam,1992,497,WHO API
Sốt rét,Vietnam,1991,511,WHO API
Sốt rét,Vietnam,1990,509,WHO API
Sốt rét,Vietnam,1989,639,WHO API
Sốt rét,Vietnam,1988,983,WHO API
Sốt rét,Vietnam,1987,1827,WHO API
Sốt rét,Vietnam,1986,1974,WHO API
Sốt rét,Vietnam,1985,2361,WHO API
Sốt rét,Vietnam,1984,2389,WHO API
Sốt rét,Vietnam,1983,3487,WHO API
Sốt rét,Vietnam,1982,2921,WHO API
Sốt rét,Vietnam,1981,2688,WHO API
Sốt rét,Vietnam,1980,1730,WHO API
Sốt rét,Vietnam,1979,1309,WHO API
Sốt rét,Vietnam,1978,2446,WHO API
Sốt rét,Vietnam,1977,2476,WHO API
Sốt rét,Vietnam,1976,2199,WHO API
Sốt rét,Vietnam,1975,738,WHO API
Sốt rét,Vietnam,1974,418,WHO API
